SAHARA MERIDIONALE;Z362
SAHARA SETTENTRIONALE;Z363
SAHARA SPAGNOLO;Z339
SAINT KITTS E NEVIS;Z533
SAINT LUCIA;Z527
SAINT PIERRE ET MIQUELON;Z403
SAINT VINCENT E GRENADINE;Z528
SALOMONE;Z724
SALOMONE;Z724
SAMOA;Z726
SAMOA AMERICANE;Z725
SAN MARINO;Z130
SANT'ELENA;Z340
SAO TOME' E PRINCIPE;Z341
SAO TOME' E PRINCIPE;Z341
SEICELLE;Z342
SEICELLE;Z342
SENEGAL;Z343
SERBIA E MONTENEGRO;Z118
SIERRA LEONE;Z344
SIKKIM;Z239
SINGAPORE;Z248
SIRIA;Z240
SLOVACCHIA;Z155
SLOVENIA;Z150
SOMALIA;Z345
SOMALIA FRANCESE;Z346
SPAGNA;Z131
SRI LANKA;Z209
STATI UNITI D'AMERICA;Z404
SUDAFRICANA REPUBBLICA;Z347
SUDAN;Z348
SURINAME;Z608
SVEZIA;Z132
SVIZZERA;Z133
SWAZILAND;Z349
SWAZILAND-SUDAFRICA BRITANNICO;Z349
TAGIKISTAN;Z147
TANGANICA;Z350
TANZANIA;Z357
TERRITORIO FRANCESE DEGLI AFAR E DEGLI I;Z346
THAILANDIA;Z241
TIMOR;Z242
TOGO;Z351
TOKELAU;Z727
TONGA;Z728
TRANSKEI;Z365
TRINIDAD E TOBAGO;Z612
TUNISIA;Z352
TURCHIA;Z243
TURKEMENISTAN;Z258
TURKS E CAICOS;Z519
TUVALU;Z732
UCRAINA;Z138
UGANDA;Z353
UNGHERIA;Z134
UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE;Z135
URUGUAY;Z613
UZBEKISTAN;Z143
VANUATU;Z733
VENDA;Z366
VENEZUELA;Z614
VERGINI AMERICANE;Z520
VERGINI BRITANNICHE;Z525
VIETNAM;Z251
VIETNAM DEL NORD;Z245
VIETNAM DEL SUD;Z244
VOLTA=ALTOVOLTA;Z354
WALLIS E FUTUNA;Z729
YEMEN;Z246
YEMEN REPUBBLICA DEMOCRATICA POPOLARE;Z250
ZAIRE;Z312
ZAMBIA;Z355
ZANZIBAR;Z356
ZIMBABWE;Z337
